scenario,description,driver,eligible_accounts,baseline_recovery_rate,estimated_recovery_rate,model_effect_pp,estimated_incremental_recovered_accounts,estimated_incremental_recovery_amount,causal_claim
A,Conservative,Telephony,30000,0.4428,0.45356249011625666,1.0762490116256629,322.87470348769887,112888139.20810395,False
B,Targeted Opportunity,Collection Agents,30000,0.4428,0.4492454119404603,0.6445411940460277,193.3623582138083,67606153.64368206,False
C,Upside,Borrower Targeting,30000,0.4428,0.4428,0.0,0.0,0.0,False
